system   D            wsystem.c:583  maybe_parent_dir                 [   0.00148] Also searching C:\Users\user\Source\Repos\My-Projects\Forgotten Dungeon (C++)\
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.16239] Font projekt\Vecna.otf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.16248]     ascent=11.0, descent=-2.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.16259] added dtor for object 02D6D0F8, func 0F6E1B63
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.16376] Font projekt\Vecna.otf loaded with pixel size 0 x 18.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.16384]     ascent=16.0, descent=-3.0, height=21.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.16394] added dtor for object 02D6D248, func 0F6E1B63
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.16510] Font projekt\Vecna.otf loaded with pixel size 0 x 20.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.16519]     ascent=18.0, descent=-4.0, height=23.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.16530] added dtor for object 02D6D590, func 0F6E1B63
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.16640] Font projekt\Vecna.otf loaded with pixel size 0 x 40.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.16656]     ascent=36.0, descent=-8.0, height=46.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.16667] added dtor for object 02D6CF70, func 0F6E1B63
dtor     D               dtor.c:184  _al_register_destructor          [   0.16681] added dtor for object 048CFF08, func 0F6E24FA
dtor     D               dtor.c:184  _al_register_destructor          [   0.16690] added dtor for object 048D0048, func 0F6E27CF
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20266] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20275] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20281] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20286] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20291] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20295] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20300] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20305] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.20310] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.20315] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.20320] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.20326] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.20332] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.20554] added dtor for object 048D15B8, func 0F6E25BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.26714] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.26725] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.34132] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.34143] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.34165] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.34173] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.34178] Fake format
